Category, Sink ID, Process ID, Thread ID, Time (Ticks), Text
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653552714294,"overlay5dst:""""
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653552816300,"overlay6type:3
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653552928072,"overlay6order:0
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653553025299,"overlay6src:""""
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653553215757,"overlay6dst:""""
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653553258920,"overlay7type:3
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653553283242,"overlay7order:0
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653553384832,"overlay7src:""""
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653553464035,"overlay7dst:""""
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653553546383,"overlay8type:3
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653553622558,"overlay8order:0
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653553719242,"overlay8src:""""
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653553873321,"overlay8dst:""""
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653553990239,"==============================================
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653595701060,"[SceLncService] category={gd} VRMode={0,0}
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653595954185,"[SceLncService] hnm,psnf,pc,tk,ns={0,0,1,0,1} appBootMode={0}
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653595983303,"[SceLncService] appType={SCE_LNC_APP_TYPE_BIG_APP} [DEBUGGER] appVer={01.00}
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653596006701,"[SceLncService] Waiting for LoginMgr
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653596029743,"[SceLncService] Num. of logged-in users is 1
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653596067603,"[SceLncService] PrepareProcessLaunchDebuggerCheck()
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653653567600,"[SceLncService] PrepareProcessLaunchDebuggerCheck() returned
"
PROCESS_OUTPUT,STREAM_STDIO,42,101745,24653655189823,"[SceSystemStateMgr] Power Mode Change: FULL_GAME
"
PROCESS_OUTPUT,STREAM_STDIO,42,101745,24653671277827,"[SceSystemStateMgr] CPU  HLT CP SE CU ACLK DCLK ECLK LCLK SCLK SAMCLK VCLK DispCLK NCLK MemCLK MemP GMC DPM VDD      VDDNB    S"
PROCESS_OUTPUT,STREAM_STDIO,42,101745,24653671366716,"OC      
"
PROCESS_OUTPUT,STREAM_STDIO,42,101745,24653671666059,"[SceSystemStateMgr] 1600   0 NA  0 18  800  609  609  800  800    711  711     673 1400   1375   NA  NA   3 040/1137 040/1131 0"
PROCESS_OUTPUT,STREAM_STDIO,42,101745,24653671740204,"0710f13
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653672431299,"[SceLncService] PrepareProcessLaunchDebugger()
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653755333936,"[BGFT] [606] GameWillStart(NPXX51362, 3) start
"
